ticker,Date,Open,Close*,delta,delta_bin
AAP,"Nov 19, 2020",147.54,146.08,-1.4599999999999795,down
AAP,"Nov 18, 2020",148.93,148.1,-0.8300000000000125,down
AAP,"Nov 17, 2020",149.92,149.3,-0.6199999999999761,down
AAP,"Nov 16, 2020",155.5,151.06,-4.439999999999999,down
AAP,"Nov 13, 2020",152.99,154.0,1.009999999999991,up
AAP,"Nov 12, 2020",156.72,153.06,-3.6599999999999966,down
AAP,"Nov 11, 2020",156.78,156.52,-0.2599999999999909,down
AAP,"Nov 10, 2020",153.25,155.42,2.1699999999999875,up
AAP,"Nov 09, 2020",161.59,156.63,-4.960000000000008,down
AES,"Nov 20, 2020",20.73,20.42,-0.3099999999999987,down
AES,"Nov 19, 2020",21.28,20.88,-0.4000000000000021,down
AES,"Nov 18, 2020",21.36,21.37,0.010000000000001565,up
AES,"Nov 17, 2020",21.13,21.35,0.2200000000000024,up
AES,"Nov 16, 2020",21.29,21.33,0.03999999999999915,up
AES,"Nov 13, 2020",20.72,20.87,0.15000000000000213,up
AES,"Nov 12, 2020",21.11,20.54,-0.5700000000000003,down
AES,"Nov 11, 2020",21.0,21.29,0.28999999999999915,up
AES,"Nov 10, 2020",20.95,20.82,-0.129999999999999,down
AES,"Nov 09, 2020",21.93,20.97,-0.9600000000000009,down
AFL,"Nov 20, 2020",43.44,43.85,0.4100000000000037,up
AFL,"Nov 19, 2020",42.63,43.72,1.0899999999999963,up
AFL,"Nov 18, 2020",43.1,42.86,-0.240000000000002,down
AFL,"Nov 17, 2020",42.58,43.0,0.4200000000000017,up
AFL,"Nov 16, 2020",42.75,43.23,0.4799999999999969,up
AFL,"Nov 13, 2020",40.75,41.52,0.7700000000000031,up
AFL,"Nov 12, 2020",40.3,40.31,0.010000000000005116,up
AFL,"Nov 11, 2020",41.84,40.88,-0.9600000000000009,down
AFL,"Nov 10, 2020",41.49,41.85,0.35999999999999943,up
A,"Nov 20, 2020",108.64,110.89,2.25,up
A,"Nov 19, 2020",106.74,108.68,1.940000000000012,up
A,"Nov 18, 2020",109.55,105.95,-3.5999999999999943,down
A,"Nov 17, 2020",110.5,109.86,-0.6400000000000006,down
A,"Nov 16, 2020",111.0,110.27,-0.730000000000004,down
A,"Nov 13, 2020",110.46,110.17,-0.28999999999999204,down
A,"Nov 12, 2020",109.4,109.44,0.039999999999992035,up
A,"Nov 11, 2020",111.14,109.41,-1.7300000000000042,down
A,"Nov 10, 2020",112.82,110.2,-2.6199999999999903,down
A,"Nov 09, 2020",116.16,112.5,-3.6599999999999966,down
APD,"Nov 20, 2020",269.94,270.48,0.5400000000000205,up
APD,"Nov 19, 2020",266.75,270.36,3.6100000000000136,up
APD,"Nov 18, 2020",266.82,267.7,0.8799999999999955,up
APD,"Nov 17, 2020",264.59,266.29,1.7000000000000457,up
APD,"Nov 16, 2020",267.58,266.44,-1.1399999999999864,down
APD,"Nov 13, 2020",268.03,263.87,-4.159999999999968,down
APD,"Nov 12, 2020",277.89,265.31,-12.579999999999984,down
