Date,Open,Close,delta,delta_bin
2015-11-18,42.900002,44.214001,-1.3139990000000026,down
2015-11-19,44.108002,44.360001000000004,-0.25199900000000497,down
2015-11-20,44.698002,44.001999,0.6960030000000046,up
2015-11-23,43.470001,43.549999,-0.07999799999999624,down
2015-11-24,43.074001,43.650002,-0.576000999999998,down
2015-11-25,44.268002,45.928001,-1.6599989999999991,down
2015-11-27,46.212002000000005,46.321999,-0.1099969999999928,down
2015-11-30,46.358002,46.051998,0.3060040000000015,up
2015-12-01,46.212002000000005,47.438,-1.225997999999997,down
2015-12-02,47.400002,46.397999,1.002003000000002,up
2015-12-03,47.096001,46.542,0.5540009999999995,up
2015-12-04,46.492001,46.076,0.4160010000000014,up
2015-12-07,45.540001000000004,46.226002,-0.6860009999999974,down
2015-12-08,45.504002,45.344002,0.1599999999999966,up
2015-12-09,45.34,44.903999,0.4360010000000045,up
2015-12-10,44.942001,45.414001,-0.4720000000000013,down
2015-12-11,45.048,43.403999,1.644001000000003,up
2015-12-14,43.501999,43.716,-0.21400100000000322,down
2015-12-15,44.363997999999995,44.217999,0.14599899999999622,up
2015-12-16,44.419998,46.902,-2.4820020000000014,down
2015-12-17,46.787997999999995,46.678001,0.1099969999999928,up
2015-12-18,46.577999,46.091999,0.4859999999999971,up
2015-12-21,46.338001,46.512001,-0.1739999999999995,down
2015-12-22,46.998001,45.990002000000004,1.007998999999998,up
2015-12-23,46.436001,45.939999,0.49600199999999717,up
2015-12-24,46.112,46.113997999999995,-0.001997999999993283,down
2015-12-28,46.298,45.790001000000004,0.5079989999999981,up
2015-12-29,46.012001,47.438,-1.4259990000000045,down
2015-12-30,47.32,47.618,-0.2980000000000018,down
2015-12-31,47.702,48.001999,-0.2999989999999997,down
2016-01-04,46.144001,44.681999,1.4620020000000054,up
2016-01-05,45.271999,44.686001,0.5859980000000036,up
2016-01-06,44.0,43.807999,0.19200099999999765,up
2016-01-07,42.838001,43.130001,-0.2920000000000016,down
2016-01-08,43.571999,42.200001,1.3719979999999978,up
2016-01-11,42.801998,41.57,1.2319979999999973,up
2016-01-12,42.32,41.993999,0.326000999999998,up
2016-01-13,42.402,40.062,2.3400000000000034,up
2016-01-14,40.442001,41.236,-0.7939989999999995,down
2016-01-15,39.793999,40.998001,-1.2040020000000027,down
2016-01-19,41.742001,40.944,0.7980009999999993,up
2016-01-20,39.880001,39.740002000000004,0.139998999999996,up
2016-01-21,40.310001,39.993999,0.31600199999999745,up
2016-01-22,40.959998999999996,40.509997999999996,0.4500010000000003,up
2016-01-25,40.012001,39.276001,0.7359999999999971,up
2016-01-26,39.34,38.712002000000005,0.6279979999999981,up
2016-01-27,38.476002,37.613997999999995,0.862004000000006,up
2016-01-28,38.158001,37.939999,0.21800199999999847,up
2016-01-29,37.990002000000004,38.240002000000004,-0.25,down
2016-02-01,37.751999,39.388,-1.6360010000000003,down
2016-02-02,38.484001,36.556,1.9280010000000019,up
